,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,breytovo,58.2993,37.8617,55.8,74,3,4.81,RU,1620800598
121,mapiri,-15.25,-68.1667,66.56,97,100,0.4,BO,1620800601
122,vaini,-21.2,-175.2,75.2,73,40,9.22,TO,1620800601
123,gueret,46.1667,1.8667,46.0,87,0,5.75,FR,1620800601
124,puerto ayora,-0.7393,-90.3518,75.0,93,25,3.0,EC,1620800602
125,butaritari,3.0707,172.7902,82.72,75,100,11.23,KI,1620800602
126,sola,-13.8833,167.55,78.8,94,75,15.08,VU,1620800603
127,evensk,61.95,159.2333,36.28,94,23,4.14,RU,1620800603
128,castro,-24.7911,-50.0119,56.41,89,100,3.02,BR,1620800603
129,victoria,22.2855,114.1577,90.0,73,35,8.99,HK,1620800529
130,marawi,7.9986,124.2928,91.99,68,41,3.87,PH,1620800604
131,cerro punta,8.85,-82.5667,54.39,95,100,2.75,PA,1620800604
132,carnarvon,-24.8667,113.6333,82.4,51,0,10.36,AU,1620800605
133,uncia,-18.467,-66.5685,46.26,65,84,2.37,BO,1620800605
134,busayra,30.7376,35.6078,67.39,30,0,4.41,JO,1620800606
135,pontianak,-0.0333,109.3333,87.91,70,81,6.6,ID,1620800606
136,nanakuli,21.3906,-158.1547,75.2,64,1,6.91,US,1620800607
137,mocuba,-16.8392,36.9856,64.56,97,95,3.18,MZ,1620800607
138,tuusula,60.4037,25.0264,63.0,39,0,9.22,FI,1620800608
139,stornoway,58.2093,-6.3865,46.4,93,75,14.97,GB,1620800608
140,taltal,-25.4,-70.4833,61.03,81,43,1.36,CL,1620800608
141,punta arenas,-53.15,-70.9167,44.6,81,40,10.36,CL,1620800609
142,lebu,-37.6167,-73.65,49.87,80,36,10.6,CL,1620800609
143,ribeira grande,38.5167,-28.7,60.8,94,40,6.91,PT,1620800610
144,lorengau,-2.0226,147.2712,76.68,92,100,4.14,PG,1620800610
145,carroll,39.5501,-77.0164,48.2,43,1,5.75,US,1620800610
146,rio gallegos,-51.6226,-69.2181,44.6,76,0,6.91,AR,1620800611
147,boende,-0.2167,20.8667,74.21,89,96,2.33,CD,1620800611
